Species,HabitatType,status,StartLatitude,StartLongitude,DepthLower,Weight_kg,Number
Porifera,Unknown,,77.5616666666667,30.3483333333333,894.625,0.0,16.0
Axinellida,Unknown,,77.565,27.63,435.0,0.0,9.0
Merliida,Unknown,,77.565,27.63,435.0,0.0,6.0
Polymastia grimaldii,Unknown,,77.565,27.63,284.28999999999996,0.0,4.0
Polymastiidae,Unknown,,77.565,27.63,435.0,0.0,2.0
Tentorium semisuberites,Unknown,,77.565,27.63,1120.0,0.0,4.0
Suberitidae,Unknown,,77.565,27.63,435.0,0.0,1.0
Thenea,Unknown,,77.565,27.63,285.05,0.0,29.0
Asconema foliatum,Unknown,,77.565,27.63,405.64,1.0,22.0
Polymastiidae,Unknown,,77.5666666666667,25.2466666666667,435.0,0.0,1.0
Craniella,Unknown,,77.5666666666667,25.2466666666667,410.19,9.0,1620.0
Leucosolenida,Unknown,,78.16,37.715,435.0,0.0,1.0
Dendroceratida,Unknown,,78.16,37.715,1132.5,0.0,1.0
Cladorhiza,Unknown,,78.16,37.715,435.0,0.0,1.0
Mycalidae,Unknown,,78.16,37.715,435.0,0.0,1.0
Polymastiidae,Unknown,,78.16,37.715,435.0,0.0,5.0
Tentorium semisuberites,Unknown,,78.16,37.715,1120.0,0.0,2.0
Craniella,Unknown,,78.16,37.715,410.19,0.0,50.0
Haplosclerida,Unknown,,78.2216666666667,33.4116666666667,435.0,0.0,1.0
Cladorhiza,Unknown,,78.2216666666667,33.4116666666667,435.0,0.0,1.0
Forcepia,Unknown,,78.2216666666667,33.4116666666667,435.0,0.0,6.0
Mycalidae,Unknown,,78.2216666666667,33.4116666666667,435.0,0.0,1.0
Polymastia grimaldii,Unknown,,78.2216666666667,33.4116666666667,284.28999999999996,0.0,6.0
Tentorium semisuberites,Unknown,,78.2216666666667,33.4116666666667,1120.0,0.0,1.0
Suberitidae,Unknown,,78.2216666666667,33.4116666666667,435.0,0.0,2.0
Craniella,Unknown,,78.2216666666667,33.4116666666667,410.19,0.0,2.0
Thenea,Unknown,,78.2216666666667,33.4116666666667,285.05,0.0,3.0
Craniella,Unknown,,78.26,30.1733333333333,410.19,0.0,1.0
Polymastia grimaldii,Unknown,,78.2716666666667,27.175,284.28999999999996,0.0,128.0
Craniella,Unknown,,78.2716666666667,27.175,410.19,0.0,5.0
Porifera,Unknown,,78.2716666666667,27.175,894.625,0.0,1.0
Leucosolenida,Unknown,,78.8016666666667,36.1633333333333,435.0,0.0,4.0
Polymastia grimaldii,Unknown,,78.8016666666667,36.1633333333333,284.28999999999996,0.0,1.0
Suberitidae,Unknown,,78.8016666666667,36.1633333333333,435.0,0.0,1.0
Craniella,Unknown,,78.8016666666667,36.1633333333333,410.19,0.0,2.0
Thenea,Unknown,,78.8016666666667,36.1633333333333,285.05,0.0,2.0
Asconema foliatum,Unknown,,78.8016666666667,36.1633333333333,405.64,0.0,2.0
Porifera,Unknown,,78.8016666666667,36.1633333333333,894.625,0.0,9.0
Polymastia thielei,Unknown,,78.7816666666667,33.245,294.45,0.0,1.0
Tentorium semisuberites,Unknown,,78.7816666666667,33.245,1120.0,0.0,1.0
Porifera,Unknown,,78.7816666666667,33.245,894.625,0.0,2.0
Leucosolenida,Unknown,,78.8216666666667,30.6466666666667,435.0,0.0,1.0
Tentorium semisuberites,Unknown,,78.8216666666667,30.6466666666667,1120.0,0.0,1.0
Tethyidae,Unknown,,78.8216666666667,30.6466666666667,435.0,0.0,1.0
Asconema foliatum,Unknown,,78.8216666666667,30.6466666666667,405.64,0.0,2.0
Porifera,Unknown,,78.8216666666667,30.6466666666667,894.625,0.0,14.0
Leucosolenida,Unknown,,78.7866666666667,24.1166666666667,435.0,0.0,2.0
Axinellida,Unknown,,78.7866666666667,24.1166666666667,435.0,0.0,2.0
Forcepia,Unknown,,78.7866666666667,24.1166666666667,435.0,0.0,25.0
Polymastia grimaldii,Unknown,,78.7866666666667,24.1166666666667,284.28999999999996,1.0,66.0
Suberitidae,Unknown,,78.7866666666667,24.1166666666667,435.0,0.0,11.0
Thenea,Unknown,,78.7866666666667,24.1166666666667,285.05,0.0,19.0
Asconema foliatum,Unknown,,78.7866666666667,24.1166666666667,405.64,0.0,11.0
Porifera,Unknown,,78.7866666666667,24.1166666666667,894.625,0.0,41.0
Axinellida,Unknown,,79.375,27.4983333333333,435.0,0.0,2.0
