ISO3,Country,Area,Indicator,Value Text,Count,Share (%)
MNG,Mongolia,Rural,ATH10,Partially,78,31.5
MNE,Montenegro,Rural,ATH10,No,84,33.9
MAR,Morocco,Rural,ATH10,Fully,58,23.4
MOZ,Mozambique,Rural,ATH10,Partially,78,31.5
NAM,Namibia,Rural,ATH10,No,84,33.9
NPL,Nepal,Rural,ATH10,No,84,33.9
NIC,Nicaragua,Rural,ATH10,No,84,33.9
NER,Niger,Rural,ATH10,Fully,58,23.4
NGA,Nigeria,Rural,ATH10,Partially,78,31.5
NOR,Norway,Rural,ATH10,Fully,58,23.4
PSE,"occupied Palestinian territory, including east Jerusalem",Rural,ATH10,Fully,58,23.4
OMN,Oman,Rural,ATH10,Fully,58,23.4
PAK,Pakistan,Rural,ATH10,Partially,78,31.5
PAN,Panama,Rural,ATH10,No,84,33.9
PNG,Papua New Guinea,Rural,ATH10,No,84,33.9
PRY,Paraguay,Rural,ATH10,Partially,78,31.5
PER,Peru,Rural,ATH10,Partially,78,31.5
PHL,Philippines,Rural,ATH10,No,84,33.9
ROU,Romania,Rural,ATH10,Fully,58,23.4
LCA,Saint Lucia,Rural,ATH10,No,84,33.9
STP,Sao Tome and Principe,Rural,ATH10,No,84,33.9
SEN,Senegal,Rural,ATH10,No response,28,11.3
SRB,Serbia,Rural,ATH10,Fully,58,23.4
SYC,Seychelles,Rural,ATH10,No,84,33.9
SLE,Sierra Leone,Rural,ATH10,Partially,78,31.5
SLB,Solomon Islands,Rural,ATH10,No,84,33.9
SOM,Somalia,Rural,ATH10,No,84,33.9
ZAF,South Africa,Rural,ATH10,Partially,78,31.5
SSD,South Sudan,Rural,ATH10,Partially,78,31.5
LKA,Sri Lanka,Rural,ATH10,Partially,78,31.5
SDN,Sudan,Rural,ATH10,Partially,78,31.5
SYR,Syrian Arab Republic,Rural,ATH10,Partially,78,31.5
TJK,Tajikistan,Rural,ATH10,No,84,33.9
THA,Thailand,Rural,ATH10,Fully,58,23.4
TLS,Timor-Leste,Rural,ATH10,Fully,58,23.4
TGO,Togo,Rural,ATH10,No,84,33.9
